# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		8701		4544		3020
1		7329		7540		3091
2		6419		9853		3120
3		5744		11709		3156
4		5183		13187		3152
5		4838		14437		3179
6		4563		15487		3189
7		4289		16394		3198
8		4142		17187		3212
9		4000		17973		3216
10		3806		18705		3209
11		3652		19373		3223
12		3519		19914		3220
13		3430		20400		3247
14		3326		20837		3226
15		3263		21260		3222
16		3178		21655		3232
17		3122		22041		3208
18		3059		22374		3243
19		3026		22704		3249
20		2971		23034		3241
21		2894		23292		3254
22		2880		23560		3256
23		2820		23825		3253
24		2795		24063		3275
25		2755		24291		3281
26		2703		24528		3269
27		2675		24741		3261
28		2619		24955		3264
29		2584		25134		3270
30		2581		25305		3273
31		2534		25475		3273
32		2521		25612		3279
33		2495		25765		3283
34		2485		25935		3280
35		2472		26064		3284
36		2469		26188		3280
37		2448		26301		3284
38		2424		26425		3291
39		2414		26522		3291
40		2394		26595		3303
41		2381		26673		3304
42		2365		26745		3301
43		2344		26828		3293
44		2336		26888		3302
45		2310		26955		3301
46		2299		27014		3295
47		2301		27075		3290
48		2285		27120		3291
49		2267		27189		3294
50		2256		27250		3290
51		2252		27305		3297
52		2259		27387		3297
53		2253		27456		3300
54		2253		27525		3306
55		2245		27588		3309
56		2228		27645		3307
57		2219		27699		3308
58		2205		27749		3302
59		2191		27792		3297
60		2188		27845		3308
61		2187		27885		3302
62		2187		27922		3304
63		2172		27969		3298
64		2166		28001		3295
65		2151		28039		3301
66		2155		28068		3301
67		2147		28109		3307
68		2148		28154		3307
69		2146		28191		3301
70		2142		28235		3298
71		2136		28277		3304
72		2142		28320		3298
73		2140		28365		3300
74		2147		28419		3309
75		2140		28458		3304
76		2136		28502		3295
77		2130		28543		3296
78		2131		28581		3305
79		2121		28617		3303
80		2121		28646		3304
81		2118		28675		3302
82		2113		28716		3308
83		2104		28756		3301
84		2099		28796		3303
85		2094		28835		3303
86		2097		28869		3300
87		2088		28911		3310
88		2081		28948		3306
89		2081		28982		3311
90		2078		29018		3315
91		2063		29051		3306
92		2057		29076		3311
93		2062		29115		3311
94		2065		29157		3310
95		2056		29186		3309
96		2048		29218		3304
97		2046		29248		3302
98		2041		29269		3306
99		2045		29312		3303
100		2050		29363		3303
101		2044		29408		3308
102		2042		29446		3310
103		2037		29486		3307
104		2038		29531		3310
105		2029		29584		3311
106		2024		29622		3313
107		2020		29657		3308
108		2019		29711		3310
109		2020		29746		3306
110		2023		29781		3314
111		2011		29817		3313
112		2012		29838		3311
113		2012		29855		3307
114		2005		29879		3312
115		2005		29910		3318
116		2000		29945		3312
117		1995		29987		3315
118		1992		30018		3313
119		1990		30052		3314
120		1989		30091		3311
121		1977		30122		3311
122		1975		30144		3304
123		1978		30162		3308
124		1977		30178		3311
125		1974		30206		3309
126		1971		30225		3305
