# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		4865		2395		1452
1		4358		4790		1465
2		3916		7185		1523
3		3839		9580		1571
4		3796		11974		1606
5		3754		14368		1520
6		3731		16763		1562
7		3705		19158		1545
8		3696		21549		1575
9		3663		23944		1572
10		3671		26337		1591
11		3596		28732		1557
12		3601		31127		1570
13		3580		33522		1583
14		3543		35915		1582
15		3523		38308		1577
16		3509		40700		1616
17		3510		43093		1568
18		3468		45487		1596
19		3484		47882		1584
20		3449		50274		1588
21		3444		52667		1610
22		3402		55059		1601
23		3410		57451		1569
24		3380		59845		1587
25		3393		62239		1581
26		3376		64633		1585
27		3379		67027		1586
28		3389		69421		1588
29		3333		71815		1586
30		3352		74208		1579
31		3346		76602		1607
32		3328		78996		1597
33		3322		81391		1624
34		3335		83785		1594
35		3310		86178		1587
36		3292		88571		1600
37		3327		90966		1633
38		3326		93361		1626
39		3341		95754		1634
40		3304		98147		1617
41		3314		100541		1625
42		3257		102935		1645
43		3278		105330		1628
44		3241		107722		1626
45		3240		110117		1643
46		3224		112510		1656
47		3242		114902		1627
48		3215		117294		1650
49		3210		119688		1653
50		3206		122083		1631
51		3195		124475		1641
52		3192		126867		1633
53		3222		129262		1616
54		3205		131656		1660
55		3184		134050		1660
56		3194		136442		1650
57		3185		138837		1656
58		3185		141231		1655
59		3159		143626		1635
60		3165		146019		1646
61		3128		148413		1642
62		3138		150806		1637
63		3147		153201		1644
64		3127		155596		1654
65		3152		157990		1635
66		3147		160383		1668
67		3115		162776		1647
68		3094		165167		1640
69		3089		167562		1641
70		3107		169955		1626
71		3129		172350		1614
72		3084		174741		1610
73		3096		177131		1649
74		3085		179525		1638
75		3102		181919		1632
76		3107		184313		1672
77		3086		186704		1619
78		3085		189098		1658
79		3077		191492		1656
80		3074		193885		1630
81		3056		196279		1651
82		3051		198673		1656
83		3050		201068		1631
84		3027		203459		1649
85		3036		205851		1662
86		3018		208244		1659
87		3024		210637		1654
88		3032		213030		1661
89		3015		215424		1645
90		3013		217816		1664
91		2986		220209		1677
92		2997		222603		1641
93		3004		224998		1666
94		2972		227392		1678
95		2964		229785		1649
96		2961		232178		1672
97		2942		234571		1659
98		2943		236964		1645
99		2944		239356		1659
100		2958		241751		1657
101		2949		244142		1650
102		2937		246535		1670
103		2940		248929		1655
104		2935		251324		1639
105		2939		253717		1647
106		2933		256111		1678
107		2935		258502		1648
108		2948		260896		1665
109		2931		263286		1682
110		2936		265679		1655
111		2891		268073		1679
112		2913		270466		1679
113		2915		272859		1661
114		2898		275250		1674
115		2911		277643		1689
116		2900		280035		1675
117		2875		282429		1691
118		2876		284822		1703
119		2876		287214		1660
120		2875		289606		1677
121		2867		292000		1688
122		2861		294393		1651
123		2857		296786		1690
124		2868		299181		1682
125		2853		301573		1658
126		2858		303966		1674
127		2848		306361		1671
128		2836		308754		1657
129		2846		311147		1670
130		2855		313540		1680
131		2828		315934		1672
132		2825		318325		1663
133		2822		320717		1682
134		2817		323110		1674
135		2820		325500		1681
136		2809		327893		1697
137		2786		330285		1669
138		2806		332680		1680
139		2811		335070		1669
140		2802		337465		1673
141		2786		339858		1684
142		2793		342249		1683
143		2795		344643		1664
144		2795		347034		1683
145		2809		349426		1688
146		2791		351820		1685
147		2802		354214		1691
148		2803		356608		1683
149		2798		359002		1680
150		2807		361394		1687
151		2781		363786		1686
152		2784		366180		1676
153		2767		368575		1689
154		2763		370967		1700
155		2767		373362		1673
156		2776		375756		1701
157		2788		378150		1693
158		2782		380543		1687
159		2771		382938		1700
160		2761		385330		1703
161		2740		387723		1695
162		2749		390118		1707
163		2736		392512		1707
164		2723		394902		1692
165		2728		397296		1695
166		2735		399691		1711
167		2725		402079		1698
168		2732		404474		1701
169		2712		406868		1708
170		2724		409261		1689
171		2715		411652		1719
172		2721		414044		1711
173		2710		416437		1696
174		2713		418830		1706
175		2727		421221		1711
176		2718		423615		1699
177		2711		426007		1711
178		2714		428402		1702
179		2700		430796		1697
180		2718		433188		1712
181		2695		435580		1713
182		2690		437974		1702
183		2702		440368		1721
184		2690		442762		1722
185		2694		445155		1699
186		2688		447548		1731
187		2695		449941		1722
188		2689		452334		1698
189		2695		454729		1715
190		2703		457124		1707
191		2675		459517		1710
192		2683		461910		1713
193		2679		464302		1720
194		2673		466694		1701
195		2683		469087		1713
196		2660		471480		1718
197		2667		473875		1705
198		2674		476269		1719
199		2657		478664		1718
200		2663		481054		1693
201		2607		481979		1728
202		2574		482892		1709
203		2533		483794		1732
204		2519		484698		1734
205		2504		485583		1735
206		2485		486462		1736
207		2475		487346		1737
208		2458		488207		1732
209		2449		489066		1731
210		2430		489902		1730
211		2425		490732		1737
212		2412		491560		1748
213		2407		492363		1744
214		2395		493165		1746
215		2396		493960		1748
216		2384		494752		1747
217		2371		495522		1739
218		2372		496298		1728
219		2366		497066		1734
220		2359		497824		1736
221		2354		498572		1732
222		2348		499323		1725
223		2339		500061		1722
224		2330		500786		1728
225		2327		501504		1736
226		2325		502218		1728
227		2316		502929		1727
228		2308		503641		1725
229		2304		504341		1732
230		2303		505034		1738
231		2299		505730		1740
232		2297		506421		1740
233		2292		507105		1739
234		2292		507788		1738
235		2286		508463		1734
236		2285		509137		1734
237		2282		509808		1736
238		2278		510471		1738
239		2274		511135		1739
240		2273		511796		1737
241		2270		512449		1740
242		2270		513103		1738
243		2265		513751		1738
244		2265		514396		1740
245		2265		515040		1739
246		2263		515686		1741
247		2262		516326		1742
248		2260		516962		1738
249		2261		517592		1738
